ชื่อ,รหัส 9 หลักใหม่,รหัส 9 หลัก,รหัส 5 หลัก,เลขอนุญาตให้ประกอบสถานบริการสุขภาพ 11 หลัก,ประเภทองค์กร,ประเภทหน่วยบริการสุขภาพ,สังกัด,แผนก/กรม,ระดับโรงพยาบาล,เตียงที่ใช้จริง,สถานะการใช้งาน,เขตบริการ,health_region_id,ที่อยู่,code,จังหวัด,รหัสอำเภอ,อำเภอ/เขต,รหัสตำบล,ตำบล/แขวง,หมู่,รหัสไปรษณีย์,แม่ข่าย,วันที่ก่อตั้ง,วันที่ปิดบริการ,อัพเดตล่าสุด(เริ่ม 05/09/2566)
สำนักงานสาธารณสุขจังหวัดบุรีรัมย์,AA0000019,1900,19,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 9,9,,31,บุรีรัมย์,3101,เมืองบุรีรัมย์,310101,ในเมือง,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดอุบลราชธานี,AA0000022,2200,22,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 10,10,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,34,อุบลราชธานี,3401,เมืองอุบลราชธานี,340101,ในเมือง,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดจันทบุรี,AA0000012,1200,12,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,1166/19 ถ.ท่าแฉลบ,22,จันทบุรี,2201,เมืองจันทบุรี,220101,ตลาด,0,22000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดตราด,AA0000013,1300,13,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,6 ซ.ชัยมงคล 1,23,ตราด,2301,เมืองตราด,230101,บางพระ,0,23000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดฉะเชิงเทรา,AA0000014,1400,14,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,31 ถนนยุทธดำเนิน,24,ฉะเชิงเทรา,2401,เมืองฉะเชิงเทรา,240101,หน้าเมือง,0,24000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดศรีสะเกษ,AA0000021,2100,21,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 10,10,485 ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,33,ศรีสะเกษ,3301,เมืองศรีสะเกษ,330111,โพนข่า,6,33000,,,,14/1/2025
สำนักงานสาธารณสุขจังหวัดชลบุรี,AA0000010,1000,10,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,ชั้น - ห้อง - หมู่บ้าน - ซอย - ถนน -,20,ชลบุรี,2001,เมืองชลบุรี,200105,บ้านสวน,4,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดนครราชสีมา,AA0000018,1800,18,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 9,9,255,30,นครราชสีมา,3001,เมืองนครราชสีมา,300117,โคกกรวด,11,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดหนองบัวลำภู,AA0000026,2600,26,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 8,8,153,39,หนองบัวลำภู,3901,เมืองหนองบัวลำภู,390101,หนองบัว,1,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดปราจีนบุรี,AA0000015,1500,15,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 6,6,,25,ปราจีนบุรี,2501,เมืองปราจีนบุรี,250102,รอบเมือง,8,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดอุดรธานี,AA0000028,2800,28,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 8,8,,41,อุดรธานี,4101,เมืองอุดรธานี,410101,หมากแข้ง,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดสุรินทร์,AA0000020,2000,20,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 9,9,7 ถนนกรุงศรีนอก,32,สุรินทร์,3201,เมืองสุรินทร์,320101,ในเมือง,0,32000,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดอำนาจเจริญ,AA0000025,2500,25,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 10,10,,37,อำนาจเจริญ,3701,เมืองอำนาจเจริญ,370113,โนนหนามแท่ง,0,,,,,31/8/2023
สำนักงานสาธารณสุขจังหวัดยโสธร,AA0000023,2300,23,,รัฐบาล,สำนักงานสาธารณสุขจังหวัด,กระทรวงสาธารณสุข,สำนักงานปลัดกระทรวงสาธารณสุข,,0,กำลังใช้งาน,เขตสุขภาพที่ 10,10,ถ.ศาลากลาง 1,35,ยโสธร,3501,เมืองยโสธร,350101,ในเมือง,0,35000,,,,22/9/2023
